%! This file is the old "azfwocm_jn98.txt" file with some gas info
%! added (2 August 2000) to the header before the (unchanged) main
%! data block.
%!
%! alpha:  3.1512297119580056E-02  6.6728680529010737E-02
%! 3.9241615312540203E-02  2.9047926354623648E-02  4.1561877744284582E-02
%!
%! New data header line (added 2 August 2000):
%!    NGAS    IDGAS1 IDGAS2 IDGAS3 ... IDGAS<NGAS>
%!
%! layer fixed       water         ozone    carbon monoxide  methane
%!---  -----------  -----------  -----------  -----------  -----------
% 5    2  1  3  5  6
 188  8.17268E-07  6.39846E-07  1.01431E-09  1.48615E-09  1.43718E-09
 189  8.43503E-07  6.83999E-07  1.05493E-09  1.53014E-09  1.49819E-09
 190  8.70577E-07  7.31198E-07  1.09717E-09  1.57543E-09  1.56180E-09
 191  8.98518E-07  7.81655E-07  1.14111E-09  1.62205E-09  1.62810E-09
 192  9.27353E-07  8.35594E-07  1.18680E-09  1.67004E-09  1.69722E-09
 193  9.57111E-07  8.93254E-07  1.23433E-09  1.71945E-09  1.76927E-09
 194  9.87822E-07  9.54894E-07  1.28375E-09  1.77032E-09  1.84438E-09
 195  1.01952E-06  1.02079E-06  1.33516E-09  1.82268E-09  1.92267E-09
 196  1.05223E-06  1.09123E-06  1.38862E-09  1.87659E-09  2.00429E-09
 197  1.08598E-06  1.16653E-06  1.44422E-09  1.93209E-09  2.08937E-09
 198  1.12082E-06  1.24702E-06  1.50204E-09  1.98922E-09  2.17807E-09
 199  1.15677E-06  1.33308E-06  1.56218E-09  2.04804E-09  2.27052E-09
 200  1.19387E-06  1.42507E-06  1.62473E-09  2.10859E-09  2.36690E-09
 201  1.23216E-06  1.52340E-06  1.68978E-09  2.17092E-09  2.46737E-09
 202  1.27168E-06  1.62853E-06  1.75743E-09  2.23510E-09  2.57211E-09
 203  1.31246E-06  1.74090E-06  1.82779E-09  2.30116E-09  2.68129E-09
 204  1.35455E-06  1.86104E-06  1.90097E-09  2.36917E-09  2.79510E-09
 205  1.39799E-06  1.98946E-06  1.97708E-09  2.43919E-09  2.91374E-09
 206  1.44281E-06  2.12674E-06  2.05623E-09  2.51127E-09  3.03742E-09
 207  1.48907E-06  2.27350E-06  2.13855E-09  2.58547E-09  3.16634E-09
 208  1.53681E-06  2.43038E-06  2.22416E-09  2.66186E-09  3.30074E-09
 209  1.58608E-06  2.59809E-06  2.31320E-09  2.74050E-09  3.44084E-09
 210  1.63693E-06  2.77737E-06  2.40580E-09  2.82146E-09  3.58689E-09
 211  1.68940E-06  2.96903E-06  2.50211E-09  2.90481E-09  3.73913E-09
 212  1.74356E-06  3.17391E-06  2.60228E-09  2.99061E-09  3.89783E-09
 213  1.79945E-06  3.39292E-06  2.70645E-09  3.07895E-09  4.06327E-09
 214  1.85713E-06  3.62705E-06  2.81479E-09  3.16988E-09  4.23573E-09
 215  1.91665E-06  3.87734E-06  2.92747E-09  3.26350E-09  4.41551E-09
 216  1.97808E-06  4.14490E-06  3.04466E-09  3.35987E-09  4.60292E-09
 217  2.04148E-06  4.43092E-06  3.16654E-09  3.45909E-09  4.79828E-09
 218  2.10690E-06  4.73667E-06  3.29329E-09  3.56123E-09  5.00194E-09
 219  2.17442E-06  5.06353E-06  3.42512E-09  3.66638E-09  5.21423E-09
 220  2.24411E-06  5.41294E-06  3.56223E-09  3.77463E-09  5.43554E-09
 221  2.31602E-06  5.78646E-06  3.70482E-09  3.88607E-09  5.66623E-09
 222  2.39023E-06  6.18576E-06  3.85312E-09  4.00079E-09  5.90672E-09
 223  2.46683E-06  6.61261E-06  4.00735E-09  4.11890E-09  6.15741E-09
 224  2.54587E-06  7.06892E-06  4.16776E-09  4.24048E-09  6.41874E-09
 225  2.62744E-06  7.55671E-06  4.33458E-09  4.36566E-09  6.69116E-09
 226  2.71163E-06  8.07816E-06  4.50809E-09  4.49452E-09  6.97514E-09
 227  2.79851E-06  8.63560E-06  4.68853E-09  4.62717E-09  7.27118E-09
 228  2.88817E-06  9.23151E-06  4.87620E-09  4.76374E-09  7.57977E-09
 229  2.98070E-06  9.86853E-06  5.07138E-09  4.90433E-09  7.90147E-09
 230  3.07620E-06  1.05495E-05  5.27437E-09  5.04907E-09  8.23681E-09
 231  3.17475E-06  1.12775E-05  5.48549E-09  5.19807E-09  8.58639E-09
 232  3.27646E-06  1.20557E-05  5.70505E-09  5.35147E-09  8.95080E-09
 233  3.38142E-06  1.28876E-05  5.93340E-09  5.50938E-09  9.33067E-09
 234  3.48974E-06  1.37769E-05  6.17089E-09  5.67195E-09  9.72667E-09
 235  3.60153E-06  1.47276E-05  6.41789E-09  5.83932E-09  1.01395E-08
 236  3.71690E-06  1.57439E-05  6.67477E-09  6.01161E-09  1.05698E-08
 237  3.83596E-06  1.68303E-05  6.94193E-09  6.18898E-09  1.10184E-08
 238  3.95884E-06  1.79917E-05  7.21978E-09  6.37158E-09  1.14860E-08
 239  4.08565E-06  1.92332E-05  7.50876E-09  6.55957E-09  1.19735E-08
 240  4.21652E-06  2.05604E-05  7.80930E-09  6.75309E-09  1.24816E-08
 241  4.35157E-06  2.19792E-05  8.12186E-09  6.95232E-09  1.30113E-08
 242  4.49096E-06  2.34958E-05  8.44694E-09  7.15742E-09  1.35635E-08
 243  4.63480E-06  2.51172E-05  8.78503E-09  7.36856E-09  1.41391E-08
 244  4.78325E-06  2.68504E-05  9.13664E-09  7.58593E-09  1.47392E-08
 245  4.93645E-06  2.87032E-05  9.50233E-09  7.80970E-09  1.53647E-08
 246  5.09456E-06  3.06839E-05  9.88266E-09  8.04007E-09  1.60168E-08
 247  5.25772E-06  3.28013E-05  1.02782E-08  8.27723E-09  1.66965E-08
 248  5.42612E-06  3.50647E-05  1.06896E-08  8.52138E-09  1.74051E-08
 249  5.59990E-06  3.74844E-05  1.11174E-08  8.77273E-09  1.81438E-08
 250  5.77924E-06  4.00710E-05  1.15624E-08  9.03148E-09  1.89138E-08
 251  5.96433E-06  4.28361E-05  1.20252E-08  9.29786E-09  1.97165E-08
 252  6.15534E-06  4.57921E-05  1.25065E-08  9.57209E-09  2.05532E-08
 253  6.35247E-06  4.89520E-05  1.30070E-08  9.85441E-09  2.14255E-08
 254  6.55591E-06  5.23299E-05  1.35276E-08  1.01450E-08  2.23347E-08
 255  6.76586E-06  5.59410E-05  1.40690E-08  1.04442E-08  2.32826E-08
 256  6.98253E-06  5.98012E-05  1.46321E-08  1.07523E-08  2.42707E-08
 257  7.20614E-06  6.39278E-05  1.52177E-08  1.10694E-08  2.53007E-08
 258  7.43691E-06  6.83391E-05  1.58268E-08  1.13958E-08  2.63744E-08
 259  7.67507E-06  7.30549E-05  1.64602E-08  1.17319E-08  2.74937E-08
 260  7.92085E-06  7.80961E-05  1.71190E-08  1.20778E-08  2.86605E-08
 261  8.17450E-06  8.34852E-05  1.78042E-08  1.24340E-08  2.98768E-08
 262  8.43627E-06  8.92461E-05  1.85168E-08  1.28007E-08  3.11447E-08
 263  8.70642E-06  9.54045E-05  1.92579E-08  1.31781E-08  3.24665E-08
 264  8.98521E-06  1.01988E-04  2.00286E-08  1.35667E-08  3.38443E-08
 265  9.27294E-06  1.09026E-04  2.08302E-08  1.39668E-08  3.52806E-08
 266  9.56987E-06  1.16549E-04  2.16639E-08  1.43786E-08  3.67778E-08
 267  9.87631E-06  1.24592E-04  2.25310E-08  1.48026E-08  3.83386E-08
 268  1.01926E-05  1.33189E-04  2.34327E-08  1.52391E-08  3.99657E-08
 269  1.05189E-05  1.42380E-04  2.43706E-08  1.56884E-08  4.16617E-08
 270  1.08558E-05  1.52205E-04  2.53460E-08  1.61510E-08  4.34298E-08
 271  1.12034E-05  1.62708E-04  2.63604E-08  1.66273E-08  4.52729E-08
 272  1.15621E-05  1.73935E-04  2.74154E-08  1.71175E-08  4.71942E-08
 273  1.19323E-05  1.85938E-04  2.85126E-08  1.76222E-08  4.91970E-08
 274  1.23144E-05  1.98769E-04  2.96538E-08  1.81418E-08  5.12848E-08
 275  1.27087E-05  2.12485E-04  3.08406E-08  1.86767E-08  5.34613E-08
 276  1.31156E-05  2.27147E-04  3.20749E-08  1.92274E-08  5.57301E-08
 277  1.35356E-05  2.42822E-04  3.33586E-08  1.97943E-08  5.80951E-08
 278  1.39690E-05  2.59578E-04  3.46937E-08  2.03779E-08  6.05606E-08
 279  1.44163E-05  2.77490E-04  3.60823E-08  2.09787E-08  6.31307E-08
 280  1.48779E-05  2.96638E-04  3.75264E-08  2.15972E-08  6.58098E-08
